95.2544	77.6574
40.1593	0.021363
98.7945	56.0167
7.86157	79.3817
40.8399	6.86972
72.161	92.346
15.0304	53.0686
3.23191	62.2242
99.9084	63.5365
30.665	41.1145
66.5792	92.7458
37.5744	90.0723
50.6821	27.4087
33.0271	24.3385
29.1757	18.5156
68.395	26.7495
92.6969	26.8532
13.3122	82.3939
53.9781	60.1306
56.8133	37.7117
83.1141	29.8318
49.263	37.1471
10.1108	5.90533
50.7859	40.4248
85.5495	97.4487
1.71819	73.6381
39.7687	37.4737
80.7978	17.2552
31.4096	99.9359
66.6128	84.167
25.7729	27.0577
68.0685	90.8719
93.7193	95.1964
39.378	74.984
71.6697	97.2411
45.2589	62.1265
73.4275	69.8019
91.9492	35.3923
94.293	43.2081
89.6725	10.4434
98.2696	42.5123
62.1723	69.4174
28.8461	17.5512
68.9444	56.7248
34.0739	30.2988
55.7817	89.9258
46.4919	77.5048
99.2737	88.7204
8.59401	76.8517
60.857	75.277
